"","LakeID","Perimeter","CoarseNoPoints","CoarseMaxLength","FineNoPoints","FineMaxLength"
"64","NLA12_FL-126",40976.3602403,82,9686.22146116631,747,9758.24560003553
"65","NLA12_IL-111",36184.4982454,72,1225.72303782064,1250,2846.36583828171
"66","NLA12_WV-106",58686.6248158,117,4910.4223333053,881,6016.92790689345
"67","NLA12_LA-134",107510.126684,215,19575.4189148932,626,19793.0990131337
"68","NLA12_ND-194",86023.6936617,172,7882.94613861115,799,8569.90383097398
"69","NLA12_ND-131",51392.1531111,103,3780.21486844816,1458,4013.48632911928
"70","NLA12_NM-129",93070.874081,186,4026.21103924011,1903,5076.87550873705
"71","NLA12_OK-134",62262.501342,125,4954.21961319771,1422,5181.35252197315
"72","NLA12_TX-121",41010.3091796,82,6558.53221331684,1120,6869.77247531683
"73","NLA12_TX-137",33500.6530563,67,3105.09374546545,1593,3925.85982019301
"74","NLA12_TX-165",69061.1084515,138,8512.28051624513,1369,10072.413250351
"75","NLA12_OR-169",32699.939669,65,4430.87022337567,869,4774.34130260584
"76","NLA12_CA-121",41100.3918372,82,4437.54791630555,838,4842.32376696562
"77","NLA12_CA-180",126167.315906,252,7808.51756972583,1164,9959.68696694182
"78","NLA12_CA-188",33938.9978107,68,1621.81473676553,1063,2542.50390476748
"79","NLA12_WA-151",43538.7659365,87,7269.22212571347,734,7378.72946363035
"80","NLA12_CA-119",199423.652758,399,10662.1374065418,1950,12036.2804580513
"81","NLA12_WY-147",73808.1792979,148,8945.78536593427,817,10172.8903341316
"82","NLA12_TX-124",173601.873908,347,10109.5608993152,1497,11415.8263899554
