"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"133"	"NLA06608-0006"	"1"	16	2012	8	9	7	6.1	6	102	"M"
"134"	"NLA06608-0006"	"1"	17	2012	8	9	7	5.7	6	102	"M"
"135"	"NLA06608-0006"	"1"	18	2012	8	9	6.9	5.4	6	102	"M"
"136"	"NLA06608-0006"	"1"	19	2012	8	9	6.8	4.5	6	102	"M"
"137"	"NLA06608-0006"	"1"	20	2012	8	9	6.7	2.8	6	103	"H"
"138"	"NLA06608-0006"	"1"	21	2012	8	9	6.6	2.1	5	103	"H"
"139"	"NLA06608-0006"	"1"	22	2012	8	9	6.6	1.3	6	103	"H"
"140"	"NLA06608-0006"	"1"	23	2012	8	9	6.5	1	6	107	"H"
"141"	"NLA06608-0007"	"1"	0	2007	7	24	26.7	8.17	7.15	34.2	"E"
"142"	"NLA06608-0007"	"1"	1	2007	7	24	26.4	8.12	7.14	35	"E"
"143"	"NLA06608-0007"	"1"	2	2007	7	24	23.9	8.3	7.14	27.3	"E"
"144"	"NLA06608-0007"	"1"	3	2007	7	24	23.7	8.09	7.11	27.2	"E"
"145"	"NLA06608-0007"	"1"	4	2007	7	24	23.2	7.68	6.46	31.7	"E"
"146"	"NLA06608-0007"	"1"	5	2007	7	24	17.4	8.28	6.01	27.5	"M"
"147"	"NLA06608-0007"	"1"	6	2007	7	24	12.4	7.58	5.87	28.9	"M"
"148"	"NLA06608-0007"	"1"	7	2007	7	24	8.9	8.17	5.95	25.2	"M"
"149"	"NLA06608-0007"	"1"	8	2007	7	24	6	7.88	5.9	23.3	"M"
"150"	"NLA06608-0007"	"1"	9	2007	7	24	5.5	7.6	5.85	22.8	"M"
"151"	"NLA06608-0007"	"1"	10	2007	7	24	5.2	7.27	5.83	32.2	"M"
"152"	"NLA06608-0007"	"1"	11	2007	7	24	5	6.67	5.76	30.8	"H"
"153"	"NLA06608-0007"	"1"	12	2007	7	24	4.9	5.97	5.72	28.4	"H"
"154"	"NLA06608-0007"	"1"	13	2007	7	24	4.9	5.43	5.63	32.4	"H"
"155"	"NLA06608-0007"	"1"	14	2007	7	24	4.8	4.65	5.65	32.2	"H"
"156"	"NLA06608-0007"	"1"	15	2007	7	24	4.8	3.92	5.62	33.3	"H"
"157"	"NLA06608-0007"	"1"	16	2007	7	24	4.8	2	5.62	35.6	"H"
"158"	"NLA06608-0007"	"1"	17	2007	7	24	4.8	1.05	5.63	34.4	"H"
"159"	"NLA06608-0007"	"1"	18	2007	7	24	4.8	0.72	5.76	37.8	"H"
"160"	"NLA06608-0007"	"1"	18.5	2007	7	24	4.8	0.71	5.76	39.4	"H"
"161"	"NLA06608-0007"	"2"	0	2007	9	6	23.5	8.33	6.7	20.9	"E"
"162"	"NLA06608-0007"	"2"	1	2007	9	6	23.5	8.3	6.8	20.8	"E"
"163"	"NLA06608-0007"	"2"	2	2007	9	6	23.5	8.3	6.9	20.8	"E"
"164"	"NLA06608-0007"	"2"	3	2007	9	6	22.6	8.7	7.3	20.5	"E"
"165"	"NLA06608-0007"	"2"	4	2007	9	6	21.7	8.7	7.2	20.6	"E"
"166"	"NLA06608-0007"	"2"	5	2007	9	6	19.7	6.9	5.9	20.8	"E"
"167"	"NLA06608-0007"	"2"	6	2007	9	6	14.9	5	5.3	21.5	"E"
"168"	"NLA06608-0007"	"2"	7	2007	9	6	9.3	5.3	5.3	21.5	"E"
"169"	"NLA06608-0007"	"2"	8	2007	9	6	7	5.3	5.2	21.2	"E"
"170"	"NLA06608-0007"	"2"	9	2007	9	6	5.8	4.7	5.2	21.4	"E"
"171"	"NLA06608-0007"	"2"	10	2007	9	6	5.3	4.2	5.1	21.4	"E"
"172"	"NLA06608-0007"	"2"	11	2007	9	6	5.1	3.9	5.2	21.6	"E"
"173"	"NLA06608-0007"	"2"	12	2007	9	6	4.9	3.1	5.2	22	"E"
"174"	"NLA06608-0007"	"2"	13	2007	9	6	4.9	2.6	5.2	23.1	"E"
"175"	"NLA06608-0007"	"2"	14	2007	9	6	4.8	2.4	5.1	22.3	"E"
"176"	"NLA06608-0007"	"2"	15	2007	9	6	4.8	1.6	5.2	22.4	"E"
"177"	"NLA06608-0007"	"2"	16	2007	9	6	4.7	1.3	5.2	22.6	"E"
"178"	"NLA06608-0007"	"2"	17	2007	9	6	4.7	1.1	5.2	22.7	"E"
"179"	"NLA06608-0007"	"2"	18	2007	9	6	4.7	0.9	5.2	22.7	"E"
"180"	"NLA06608-0007"	"2"	18.5	2007	9	6	4.7	0.8	5.2	22.9	"E"
"181"	"NLA06608-0008"	"1"	0	2007	7	12	27.3	6.6	8.7	NA	"E"
"182"	"NLA06608-0008"	"1"	1	2007	7	12	27.3	6.2	8.7	NA	"E"
"183"	"NLA06608-0008"	"1"	2	2007	7	12	27.2	5.8	8.7	NA	"M"
"184"	"NLA06608-0008"	"1"	3	2007	7	12	24.5	0.2	7.4	NA	"M"
"185"	"NLA06608-0008"	"1"	4	2007	7	12	20.9	0.1	7.4	NA	"M"
"186"	"NLA06608-0008"	"1"	4.8	2007	7	12	18	0.1	7.4	NA	"M"
"187"	"NLA06608-0008"	"2"	0	2007	8	22	28.8	7.5	9.4	NA	"H"
"188"	"NLA06608-0008"	"2"	1	2007	8	22	28.7	7.4	9.4	NA	"M"
"189"	"NLA06608-0008"	"2"	2	2007	8	22	27.3	1.5	8.2	NA	"M"
"190"	"NLA06608-0008"	"2"	3	2007	8	22	26.3	0.5	7.8	NA	"M"
"191"	"NLA06608-0008"	"2"	4	2007	8	22	22	0.2	7.1	NA	"M"
"192"	"NLA06608-0008"	"2"	5	2007	8	22	18.3	0.1	7	NA	"M"
"193"	"NLA06608-0010"	"1"	0	2007	7	17	23.8	10	8.4	626	"E"
"194"	"NLA06608-0010"	"1"	1	2007	7	17	23.8	9.9	8.4	626	"E"
"195"	"NLA06608-0010"	"1"	2	2007	7	17	23.8	9.9	8.4	626	"E"
"196"	"NLA06608-0010"	"1"	3	2007	7	17	23.8	9.8	8.4	626	"E"
"197"	"NLA06608-0010"	"1"	4	2007	7	17	23.6	9.4	8.3	626	"E"
"198"	"NLA06608-0010"	"1"	5	2007	7	17	23.2	8.5	8.2	631	"E"
"199"	"NLA06608-0010"	"1"	6	2007	7	17	21.8	8.6	8.1	658	"M"
"200"	"NLA06608-0010"	"1"	7	2007	7	17	16.3	4	7.5	714	"M"
"201"	"NLA06608-0010"	"1"	8	2007	7	17	14.5	1.3	7.4	718	"M"
"202"	"NLA06608-0010"	"1"	9	2007	7	17	10.9	0.4	7.2	715	"M"
"203"	"NLA06608-0010"	"1"	10	2007	7	17	9.5	0.3	7.1	713	"H"
"204"	"NLA06608-0010"	"1"	11	2007	7	17	8.8	0.2	7.1	723	"H"
"205"	"NLA06608-0010"	"1"	11.8	2007	7	17	8.6	0.2	7	728	"H"
"206"	"NLA06608-0010"	"2"	0	2007	8	18	24.7	8.8	8.5	610	"E"
"207"	"NLA06608-0010"	"2"	1	2007	8	18	24.7	8.9	8.5	613	"E"
"208"	"NLA06608-0010"	"2"	2	2007	8	18	24.6	9.1	8.5	613	"E"
"209"	"NLA06608-0010"	"2"	3	2007	8	18	24.1	8.8	8.4	614	"E"
"210"	"NLA06608-0010"	"2"	4	2007	8	18	23.8	8.6	8.3	614	"E"
"211"	"NLA06608-0010"	"2"	5	2007	8	18	23.2	7.5	8.2	631	"E"
"212"	"NLA06608-0010"	"2"	6	2007	8	18	20.8	1.3	7.9	694	"M"
"213"	"NLA06608-0010"	"2"	7	2007	8	18	16.8	0.4	7.7	717	"M"
