"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"137"	"NLA12_AZ-101"	"1"	8	2012	5	8	18.47	6.43	7.95	1092	"H"
"138"	"NLA12_AZ-101"	"1"	9	2012	5	8	18.04	6.66	7.91	1082	"H"
"139"	"NLA12_AZ-101"	"1"	10	2012	5	8	17.9	6.08	7.9	1082	"H"
"140"	"NLA12_AZ-101"	"1"	11	2012	5	8	17.7	5.75	7.9	1077	"H"
"141"	"NLA12_AZ-101"	"1"	12	2012	5	8	17.7	5.7	7.9	1079	"H"
"142"	"NLA12_AZ-101"	"1"	13	2012	5	8	17.5	5.4	7.8	1088	"H"
"143"	"NLA12_AZ-101"	"1"	14	2012	5	8	17.2	5.3	7.8	1084	"H"
"144"	"NLA12_AZ-101"	"1"	15	2012	5	8	17.1	5.5	7.8	1082	"H"
"145"	"NLA12_AZ-101"	"1"	16	2012	5	8	17.1	5.2	7.8	1089	"H"
"146"	"NLA12_AZ-101"	"1"	17	2012	5	8	16.9	5.4	7.8	1092	"H"
"147"	"NLA12_AZ-101"	"1"	18	2012	5	8	16.8	5.4	7.8	1091	"H"
"148"	"NLA12_AZ-101"	"1"	19	2012	5	8	16.7	5.4	7.8	1092	"H"
"149"	"NLA12_AZ-101"	"1"	20	2012	5	8	16.7	5.3	7.8	1090	"H"
"150"	"NLA12_AZ-101"	"1"	21	2012	5	8	16.7	5.2	7.8	1088	"H"
"151"	"NLA12_AZ-101"	"1"	22	2012	5	8	16.6	5.6	7.8	1085	"H"
"152"	"NLA12_AZ-101"	"1"	23	2012	5	8	16.4	5.4	7.8	1083	"H"
"153"	"NLA12_AZ-101"	"1"	24	2012	5	8	16.3	4.7	7.7	1083	"H"
"154"	"NLA12_AZ-101"	"2"	0	2012	6	14	23.25	10.55	8.4	1131.5	"E"
"155"	"NLA12_AZ-101"	"2"	1	2012	6	14	25.9	10.6	8.3	1131	"E"
"156"	"NLA12_AZ-101"	"2"	2	2012	6	14	25.8	10.5	8.3	1130	"E"
"157"	"NLA12_AZ-101"	"2"	3	2012	6	14	25.1	9.7	8.2	1147	"E"
"158"	"NLA12_AZ-101"	"2"	4	2012	6	14	24.3	9.1	8.1	1153	"M"
"159"	"NLA12_AZ-101"	"2"	5	2012	6	14	23.2	7.5	7.9	1162	"M"
"160"	"NLA12_AZ-101"	"2"	6	2012	6	14	22.3	6.5	7.8	1168	"H"
"161"	"NLA12_AZ-101"	"2"	7	2012	6	14	22.2	6.4	7.8	1167	"H"
"162"	"NLA12_AZ-101"	"2"	8	2012	6	14	22.1	6.4	7.8	1158	"H"
"163"	"NLA12_AZ-101"	"2"	9	2012	6	14	21.3	5.5	7.7	1143	"H"
"164"	"NLA12_AZ-101"	"2"	10	2012	6	14	20.8	4.2	7.7	1149	"H"
"165"	"NLA12_AZ-101"	"2"	11	2012	6	14	20.6	4.1	7.6	1174	"H"
"166"	"NLA12_AZ-101"	"2"	12	2012	6	14	20.5	4	7.6	1164	"H"
"167"	"NLA12_AZ-101"	"2"	13	2012	6	14	20.4	3.7	7.6	1159	"H"
"168"	"NLA12_AZ-101"	"2"	14	2012	6	14	20.4	3.9	7.6	1171	"H"
"169"	"NLA12_AZ-101"	"2"	15	2012	6	14	20.2	4.1	7.5	1175	"H"
"170"	"NLA12_AZ-101"	"2"	16	2012	6	14	20.1	4	7.5	1174	"H"
"171"	"NLA12_AZ-101"	"2"	17	2012	6	14	20	4.1	7.5	1176	"H"
"172"	"NLA12_AZ-101"	"2"	18	2012	6	14	19.9	4	7.5	1175	"H"
"173"	"NLA12_AZ-101"	"2"	19	2012	6	14	19.9	4	7.5	1177	"H"
"174"	"NLA12_AZ-101"	"2"	20	2012	6	14	199	4	7.5	1177	"H"
"175"	"NLA12_AZ-101"	"2"	21	2012	6	14	19.8	4	7.5	1177	"H"
"176"	"NLA12_AZ-101"	"2"	22	2012	6	14	19.7	4	7.5	1177	"H"
"177"	"NLA12_AZ-101"	"2"	23	2012	6	14	19.7	3.9	7.5	1177	"H"
"178"	"NLA12_AZ-101"	"2"	24	2012	6	14	19.6	4	7.5	1176	"H"
"179"	"NLA12_AZ-102"	"1"	0	2012	9	19	21.05	5.1	9.3	525	"E"
"180"	"NLA12_AZ-102"	"1"	0.5	2012	9	19	20.3	5.2	9.3	525	"E"
"181"	"NLA12_AZ-102"	"1"	0.9	2012	9	19	20	4.8	9.2	527	"E"
"182"	"NLA12_AZ-103"	"1"	0	2012	8	9	NA	8.71	NA	NA	"E"
"183"	"NLA12_AZ-103"	"1"	0.5	2012	8	9	21.16	8.55	8.35	232	"E"
"184"	"NLA12_AZ-103"	"1"	1	2012	8	9	21.17	8.64	8.35	232	"E"
"185"	"NLA12_AZ-103"	"1"	1.5	2012	8	9	20.8	8.41	8.3	232	"E"
"186"	"NLA12_AZ-103"	"1"	2	2012	8	9	20.4	8.1	8.2	232	"E"
"187"	"NLA12_AZ-103"	"1"	2.5	2012	8	9	19.9	7.4	8.2	232	"E"
"188"	"NLA12_AZ-103"	"1"	3	2012	8	9	19.7	6.1	8	233	"E"
"189"	"NLA12_AZ-103"	"1"	3.5	2012	8	9	19.4	4.3	7.7	236	"E"
"190"	"NLA12_AZ-106"	"1"	0	2012	8	23	31.6	6.85	8.45	1368	"E"
"191"	"NLA12_AZ-106"	"1"	1	2012	8	23	31.6	7.2	8.4	1368	"E"
"192"	"NLA12_AZ-106"	"1"	2	2012	8	23	31.3	7.3	8.4	1367	"E"
"193"	"NLA12_AZ-106"	"1"	3	2012	8	23	31	7.2	8.4	1366	"E"
"194"	"NLA12_AZ-106"	"1"	4	2012	8	23	30.8	6.7	8.4	1366	"E"
"195"	"NLA12_AZ-106"	"1"	4.3	2012	8	23	30.8	4.6	8.3	1368	"E"
"196"	"NLA12_AZ-107"	"1"	0	2012	7	26	22.6	6.5	8.5	462	"E"
"197"	"NLA12_AZ-107"	"1"	0.5	2012	7	26	22.4	6.5	8.5	462	"E"
"198"	"NLA12_AZ-107"	"1"	1	2012	7	26	22.3	6.5	8.5	462	"E"
"199"	"NLA12_AZ-107"	"1"	1.5	2012	7	26	22.3	6.4	8.5	462	"E"
"200"	"NLA12_AZ-107"	"1"	2	2012	7	26	22.3	6.3	8.5	462	"E"
"201"	"NLA12_AZ-107"	"1"	2.5	2012	7	26	22.3	6.3	8.5	462	"E"
"202"	"NLA12_AZ-107"	"1"	3	2012	7	26	22.2	6.2	8.5	462	"E"
"203"	"NLA12_AZ-107"	"1"	3.5	2012	7	26	22.2	6	8.5	463	"E"
"204"	"NLA12_AZ-118"	"1"	0	2012	5	9	24.8	NA	8.2	550	"E"
"205"	"NLA12_AZ-123"	"1"	0	2012	8	24	31	7.4	8	2856.5	"E"
"206"	"NLA12_AZ-123"	"1"	0.5	2012	8	24	29.5	0.7	7.6	2855	"E"
"207"	"NLA12_AZ-123"	"1"	1	2012	8	24	28.3	0.4	7.5	2841	"E"
"208"	"NLA12_AZ-123"	"1"	1.3	2012	8	24	29.9	0.3	7.5	2833	"E"
"209"	"NLA12_AZ-127"	"1"	0	2012	5	23	16.3	6.75	8.3	113	"E"
"210"	"NLA12_AZ-127"	"1"	1	2012	5	23	16.2	6.6	7.9	113	"E"
"211"	"NLA12_AZ-127"	"1"	2	2012	5	23	16.2	6.5	7.8	113	"E"
"212"	"NLA12_AZ-127"	"1"	3	2012	5	23	15.9	6.3	7.7	113	"M"
"213"	"NLA12_AZ-127"	"1"	4	2012	5	23	14	4.6	7.7	112	"M"
